Timestamp,Open,High,Low,Close,Volume,OI
1674036002,81.8,81.8,81.8,81.8,7,3170071,
1674036003,81.8,81.8,81.8,81.8,18,3170071,
1674036005,81.8,81.8,81.8,81.8,5,3170071,
1674036007,81.805,81.805,81.805,81.805,3988,3170071,
1674036008,81.8025,81.8025,81.8025,81.8025,4,3170071,
1674036009,81.8025,81.8025,81.8025,81.8025,23,3170071,
1674036010,81.8025,81.8075,81.8025,81.8075,28,3170071,
1674036011,81.8075,81.8075,81.8075,81.8075,1842,3170071,
1674036013,81.8075,81.8075,81.8075,81.8075,95,3170071,
1674036015,81.8125,81.8125,81.8125,81.8125,147,3170071,
1674036017,81.81,81.81,81.81,81.81,10,3170071,
1674036023,81.81,81.81,81.81,81.81,6,3170071,
1674036027,81.81,81.81,81.81,81.81,10,3170071,
1674036032,81.8125,81.8125,81.8125,81.8125,45,3170071,
1674036034,81.81,81.81,81.81,81.81,5,3170071,
1674036036,81.8125,81.8125,81.8125,81.8125,320,3170071,
1674036037,81.8125,81.8125,81.8125,81.8125,68,3170071,
1674036039,81.8125,81.8125,81.8125,81.8125,261,3170071,
1674036040,81.8125,81.8125,81.8125,81.8125,0,3170071,
1674036042,81.8125,81.8125,81.8125,81.8125,1,3170071,
1674036043,81.8125,81.8125,81.8125,81.8125,11,3170071,
1674036044,81.8125,81.8125,81.8125,81.8125,1,3170071,
1674036045,81.815,81.815,81.815,81.815,2,3170071,
1674036046,81.815,81.815,81.815,81.815,1,3170071,
1674036049,81.8125,81.8125,81.8125,81.8125,40,3170071,
1674036052,81.8125,81.8125,81.8125,81.8125,3,3170071,
1674036055,81.815,81.815,81.815,81.815,285,3170071,
1674036057,81.8175,81.82,81.8175,81.82,117,3170071,
1674036059,81.8175,81.8175,81.8175,81.8175,6,3170071,
1674036060,81.82,81.82,81.82,81.82,2,3170071,
